Wall time,Step,Value
1733183612.842258,2156,-1.0
1733183613.017567,2157,0.05263157933950424
1733183613.969245,2163,0.0
1733183614.10925,2164,0.0
1733183614.25054,2165,-1.0
1733183614.886952,2169,0.0
1733183615.2229462,2171,-1.0
1733183615.559382,2173,0.0
1733183616.200227,2177,-1.0
1733183617.282615,2184,0.0
1733183617.779187,2187,0.0
1733183618.1166131,2189,-1.0
1733183618.419183,2191,0.0
1733183618.559532,2192,-1.0
1733183619.164355,2196,0.0
1733183619.4953358,2198,-1.0
1733183619.670519,2199,0.0
1733183619.837745,2200,0.0
1733183620.345624,2203,0.0
1733183620.507864,2204,-1.0
1733183620.96108,2207,-1.0
1733183621.102106,2208,0.0
1733183621.559943,2211,0.0
1733183622.058678,2214,0.0
1733183622.7090728,2218,0.0
1733183623.628088,2224,0.0
1733183623.783978,2225,-1.0
1733183624.27297,2228,0.02222222276031971
1733183624.447147,2229,0.0
1733183624.786192,2231,-1.0
1733183625.1165419,2233,0.0
1733183625.259874,2234,-1.0
1733183625.559458,2236,0.0
1733183625.706537,2237,-1.0
1733183626.010716,2239,0.0
1733183626.157459,2240,-1.0
1733183626.316254,2241,0.0
1733183626.4773629,2242,0.0
1733183626.792133,2244,0.0
1733183627.127094,2246,-1.0
1733183627.2965188,2247,0.0
1733183627.9023502,2251,0.0
1733183628.0462809,2252,-1.0
1733183628.333086,2254,0.0
1733183628.7987452,2257,0.0
1733183629.1142159,2259,0.0
1733183629.6068559,2262,0.0
1733183631.499895,2274,0.0535714291036129
1733183632.130879,2278,0.0
1733183632.584878,2281,0.0
1733183633.369278,2286,0.0
1733183633.6910038,2288,-1.0
1733183634.1868951,2291,-1.0
1733183635.087137,2297,-1.0
1733183635.249496,2298,0.0
1733183635.5343208,2300,-1.0
1733183636.025501,2303,-1.0
1733183636.5135841,2306,-1.0
1733183636.668561,2307,0.0
1733183636.8113549,2308,0.0
1733183638.178316,2317,0.0
1733183638.3478432,2318,-1.0
1733183638.511738,2319,0.0
1733183638.682806,2320,0.0
1733183639.0000708,2322,0.0
1733183639.3028228,2324,-1.0
1733183639.751955,2327,-1.0
1733183640.554357,2332,0.0
1733183640.883884,2334,0.0
1733183641.0387561,2335,0.0
1733183641.204899,2336,-1.0
1733183641.3455958,2337,0.0
1733183642.52799,2345,-1.0
1733183644.031989,2354,-1.0
1733183644.804662,2359,0.0
1733183646.109243,2367,0.0
1733183646.268726,2368,0.0
1733183646.7289522,2371,0.0
1733183647.377217,2375,-1.0
1733183647.8522701,2378,-1.0
1733183648.51142,2382,0.0
1733183648.989973,2385,0.0
1733183649.4764931,2388,0.0
1733183649.640547,2389,0.0
1733183649.817225,2390,-1.0
1733183650.160702,2392,0.0
1733183651.477879,2400,0.0
1733183651.8054342,2402,-1.0
1733183652.143339,2404,0.06060606241226196
